SID,cosine_similarity
18936Z,0.9944844269008867
22938F,0.9914897335625039
24723U,0.9940403985744405
18492P,0.9917149727659035
19336G,0.993943926262549
14716R,0.9944134316552666
15958U,0.992340265686988
18513X,0.9909727337741143
12688C,0.9935457688733217
21570G,0.9938271238442709
22022G,0.9955088125093181
25569P,0.993726584673567
23286T,0.9927658795190162
17326T,0.9936379730669823
17056Q,0.9942282685873942
15353M,0.9937459407173834
24079T,0.9936481065781204
18534F,0.9930712558469523
14633N,0.9923284454457475
18110B,0.9910376831475152
14330V,0.993274400866729
14895R,0.9927713835296705
15912W,0.9935685946498072
12229W,0.9942072324323178
19223T,0.9945001623700692
22082Y,0.9933845782161299
12006C,0.9909924911737634
19534K,0.9923288766454839
25626B,0.9924923699433947
14675D,0.9943422469733246
20431N,0.9939347697007384
12522U,0.9911929420164084
14632L,0.9935527370872393
22970B,0.993822480301978
26125K,0.9917110230224866
15536U,0.9946568140444015
11905F,0.9925374015943407
21588Z,0.9945629011995046
19147D,0.9916903149700786
25783R,0.9924899421954715
21961V,0.9940871809240254
11552Y,0.9944747714101043
15142Z,0.9948009496938368
24808C,0.9944346042813785
24382U,0.9950568273518908
24817D,0.9937952797058269
19754Y,0.99242468215433
17834M,0.9915864775362484
25362T,0.9911606098255052
13039W,0.9929083667058419
26185C,0.9920593979065601
15459C,0.993287884888635
13277M,0.9921169304732674
13074Y,0.9944676580476106
23325D,0.9932946957637054
24805W,0.9909950725841125
23401T,0.9921602455274854
14601A,0.9947074511004373
16217J,0.994533931613092
19057C,0.9943298012658834
13976M,0.9935916622641701
18039V,0.9934491131402985
19513C,0.9916385510522503
11490C,0.9950512708940941
22828Y,0.9932172264458594
19037W,0.9925611410393764
25863P,0.9934400366553442
23351E,0.9933691504648128
21318W,0.993548248178626
18084A,0.9918215342379061
24132X,0.9930661541589665
14653T,0.9949613843748393
15242D,0.9954824826527549
25305H,0.9946791204926013
16945Q,0.9942434319642502
18119T,0.9923085939197109
12503Q,0.9936780427238581
15869V,0.9914057414168844
12131F,0.9927277760564809
12407U,0.990644490664736
22750N,0.9926704540190943
23298A,0.993273117328834
24930Z,0.9935727869277977
12013Z,0.9925803614062813
14713L,0.9939056270340395
20621S,0.9949592750749556
23743V,0.9939142283075652
15478G,0.9946733369220957
16470V,0.9912082871091591
21641D,0.992493832120315
12601Q,0.9938638501660715
23044V,0.9936357368083754
14563S,0.9942829646361734
24714T,0.992633881519966
12027K,0.9942145296136883
16334N,0.9911381192983111
21768B,0.9927312891915506
24013P,0.9920371598454303
25706Z,0.9942471300330734
16034B,0.9938723223745529
25458G,0.9944174230672848
22441A,0.9938366978733331
14558Z,0.9944821911689058
14336H,0.9938179612755681
20023Y,0.9946279925583849
13370C,0.99332295993175
20259B,0.9921817804113345
20547G,0.9943026083818812
25262P,0.9935770785967499
23101H,0.9917889945816369
14337J,0.9920808935571516
13531A,0.9911149236575199
23345J,0.9915173943936995
23854E,0.9951240520230121
11508V,0.9950351329816168
23266N,0.991665956606226
25380V,0.9926845928762956
21576S,0.9911205109305143
14942A,0.9943988996139757
18144S,0.9932628129051647
21360V,0.9927816521246307
12005A,0.994337775370648
12683S,0.9936358652117953
13686D,0.9943368015207064
25136K,0.9919672295808728
24927K,0.993053747205336
24309K,0.994191307075292
22065Y,0.9910660853039969
21536G,0.993706757468018
24450L,0.9927771407195606
23916A,0.9942848629507982
17697C,0.9934147805140267
11485J,0.9944047282900124
22928C,0.9946237276202684
15551Q,0.9940929236258598
18585W,0.9939703672787239
11676Q,0.9941694089210875
17762N,0.9937136360718055
15140V,0.9948908800491955
18180W,0.9917137827719356
21516A,0.9915002178315881
25437Y,0.9929993581433639
19230Q,0.992594981648903
17001R,0.9945364105175982
22101C,0.9923999293104235
15495G,0.9943408747691808
15557C,0.9946078805943541
21752M,0.9932495042644737
12632B,0.9922125533569834
24941E,0.9933918337443097
18493R,0.9917459050235259
16935N,0.9932831562824066
19291K,0.9937495130945823
12861Q,0.9936735239963873
13503V,0.9932261731923169
13724L,0.9947568864773751
13201F,0.994266512424002
22629S,0.9923235046906276
13202H,0.9937424329174567
22113J,0.9944581005210349
24639F,0.9939721958702942
19670S,0.994275504845471
25585N,0.9921561800749623
20792T,0.994044079250779
14197T,0.9935702015661907
15846J,0.9946734618148885
18048W,0.993873755999699
19778M,0.9934187808657433
